time,q,p
333,0,1
334,0,1
335,0,0
336,0,1
337,1,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,1
349,0,1
350,0,0
351,0,0
352,0,0
353,0,1
354,0,0
355,0,1
356,0,0
357,0,0
358,1,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,1
370,0,1
371,0,0
372,0,0
373,0,0
374,0,1
375,0,0
376,0,0
377,0,1
378,0,1
379,1,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,1
392,0,0
393,0,1
394,0,1
395,0,0
396,0,1
397,0,0
398,0,1
399,0,0
400,1,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,1
414,0,1
415,0,0
416,0,0
417,0,0
418,0,1
419,0,0
420,0,1
421,1,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,1
433,0,1
434,0,1
435,0,1
436,0,0
437,0,1
438,0,0
439,0,1
440,0,0
441,0,0
442,1,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,1
456,0,1
457,0,0
458,0,1
459,0,1
460,0,1
461,0,1
462,0,0
463,1,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,1
475,0,0
476,0,0
477,0,0
478,0,1
479,0,1
480,0,1
481,0,0
482,0,0
483,0,1
484,1,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,1
496,0,1
497,0,1
498,0,1
499,0,1
500,0,1
501,0,0
502,0,0
503,0,1
504,0,0
505,1,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,1
519,0,1
520,0,0
521,0,1
522,0,1
523,0,0
524,0,1
525,0,0
526,1,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,1
540,0,1
541,0,1
542,0,1
543,0,0
544,0,1
545,0,1
546,0,1
547,1,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,1
560,0,0
561,0,1
562,0,1
563,0,0
564,0,1
565,0,0
566,0,0
567,0,1
568,1,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,1
581,0,1
582,0,1
583,0,0
584,0,1
585,0,0
586,0,0
587,0,0
588,0,1
589,1,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,1
602,0,1
603,0,1
604,0,0
605,0,0
606,0,0
607,0,1
608,0,1
609,0,1
610,1,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,1
623,0,0
624,0,1
625,0,0
626,0,0
627,0,1
628,0,0
629,0,0
630,0,0
631,1,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,1
645,0,0
646,0,0
647,0,1
648,0,1
649,0,1
650,0,0
651,0,1
652,1,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,1
664,0,1
665,0,1
666,0,0
667,0,0
668,0,0
669,0,1
670,0,0
671,0,1
672,0,1
673,1,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,1
689,0,0
690,0,1
691,0,1
692,0,0
693,0,0
694,1,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,1
706,0,0
707,0,1
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,1
714,0,0
715,1,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,1
730,0,0
731,0,1
732,0,1
733,0,1
734,0,1
735,0,0
736,1,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,1
749,0,1
750,0,1
751,0,1
752,0,0
753,0,1
754,0,1
755,0,0
756,0,1
757,1,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,1
770,0,0
771,0,0
772,0,0
773,0,1
774,0,1
775,0,1
776,0,0
777,0,1
778,1,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,1
791,0,1
792,0,0
793,0,1
794,0,0
795,0,1
796,0,1
797,0,1
798,0,1
799,1,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,1
813,0,1
814,0,0
815,0,1
816,0,1
817,0,1
818,0,0
819,0,0
820,1,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,1
838,0,1
839,0,1
840,0,0
841,1,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,1
854,0,1
855,0,1
856,0,1
857,0,0
858,0,1
859,0,0
860,0,1
861,0,1
862,1,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,1
876,0,0
877,0,1
878,0,0
879,0,1
880,0,1
881,0,1
882,0,1
883,1,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,1
895,0,1
896,0,1
897,0,1
898,0,1
899,0,0
900,0,1
901,0,1
902,0,0
903,0,0
904,1,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,1
917,0,1
918,0,0
919,0,1
920,0,1
921,0,0
922,0,0
923,0,1
924,0,0
925,1,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,1
937,0,0
938,0,1
939,0,1
940,0,1
941,0,0
942,0,0
943,0,0
944,0,0
945,0,1
946,1,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,1
958,0,1
959,0,1
960,0,1
961,0,0
962,0,1
963,0,0
964,0,1
965,0,0
966,0,1
967,1,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,1
979,0,1
980,0,1
981,0,1
982,0,0
983,0,0
984,0,1
985,0,0
986,0,1
987,0,0
988,1,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,1
1000,0,1
1001,0,0
1002,0,1
1003,0,1
1004,0,1
1005,0,1
1006,0,0
1007,0,1
1008,0,0
1009,1,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,1
